MI_PRINX,SL Number,Site ID,Street Location,Between Street 1,Between Street 2,Direction Bound,Start Date,End Date,Count Year,Ave Weekday Traffic,ADT,AM Peak 8 To 9,PM Peak 5 To 6,Percent Heavy Vehicles,Speed Limit,Percentile 85th,Percent Exceed Speed Limit,Data Collected By,Longitude,Latitude,x,y
192,18,HAM_HRD_KRL_90,Hampden Road,Hardy Rd,Karella St,Northbound,3/9/2022 12:00:00 AM,3/16/2022 12:00:00 AM,2022,3076,2775,257,245,12.2,50,40.32,1.038,COP,115.8134388,-31.972883,12892294.2335,-3759749.8622
193,19,HAM_HRD_KRL_91,Hampden Road,Hardy Rd,Karella St,Southbound,3/9/2022 12:00:00 AM,3/16/2022 12:00:00 AM,2022,2737,2426,208,252,14.4,50,37.98,0.461,COP,115.8134388,-31.972883,12892294.2335,-3759749.8622
194,82,HAMPDN_HARDY_KARELA,Hampden Road,Hardy Rd,Karella St,Northbound,3/9/2022 12:00:00 AM,3/16/2022 12:00:00 AM,2022,3076,2775,257,245,12.2,50,40.32,1.038,COP,115.8134388,-31.972883,12892294.2335,-3759749.8622
195,83,HAMPDN_HARDY_KARELA,Hampden Road,Hardy Rd,Karella St,Southbound,3/9/2022 12:00:00 AM,3/16/2022 12:00:00 AM,2022,2737,2426,208,252,14.4,50,37.98,0.461,COP,115.8134388,-31.972883,12892294.2335,-3759749.8622
196,5,ALTRLN_HARDY_KARELA,Altair Lane,Hardy Road,Karella Street,Southbound/Northbound,2/20/2023 12:00:00 AM,2/27/2023 12:00:00 AM,2023,85,81,7,9,0,50,23.04,0,COP,115.8139876,-31.9722732,12892355.3253,-3759669.8401
197,10,KARELA_TARENA_ALTRLN,Karella Street,Tareena Street,Altair Lane,Eastbound/Westbound,2/20/2023 12:00:00 AM,2/27/2023 12:00:00 AM,2023,494,452,42,44,0.2,50,36.18,0.158,COP,115.8139888,-31.9730271,12892355.4591,-3759768.7719
198,4,ALTRLN_KARELA_PARKRD,Altair Lane,Karella Street,Park Road,Southbound/Northbound,2/20/2023 12:00:00 AM,2/27/2023 12:00:00 AM,2023,58,52,4,8,0,50,19.44,0,COP,115.8139916,-31.9737075,12892355.771,-3759858.0592
199,7,MICALN_KANBLA_HAMPDN,Micrantha Lane,Kanimbla Road,Hampden Street,Eastbound/Westbound,2/20/2023 12:00:00 AM,2/27/2023 12:00:00 AM,2023,75,66,8,10,0,50,21.21,0,COP,115.8141547,-31.9710615,12892373.9263,-3759510.8346
200,20,BDW_EDW_ELZ_92,Broadway,Edward St,Elizabeth St,Northbound,3/9/2022 12:00:00 AM,3/16/2022 12:00:00 AM,2022,4110,4019,238,361,11,50,45.18,4.336,COP,115.8145065,-31.9820939,12892413.0914,-3760958.6403
201,21,BDW_EDW_ELZ_93,Broadway,Edward St,Elizabeth St,Southbound,3/9/2022 12:00:00 AM,3/16/2022 12:00:00 AM,2022,3365,3242,214,337,3.7,50,39.24,0.176,COP,115.8145065,-31.9820939,12892413.0914,-3760958.6403
