X,Y,FID,Id,DateStarte,EstimatedC,WorkStatus,WorkType,Road,Suburb,Region,EntryDate,GlobalID,Descriptio,TrafficImp,SeeMoreName,SeeMoreUrl,LocalRoadName
12961921.8732486,-3872246.04548223,21646,69768,01/04/2023 00:00:00,31/12/2025 00:00:00,,Maintenance,LOCAL ROAD,Boddington,South West,05/04/2023 04:06:21,174e093c-8807-49c8-97de-a1d63375df70,"Morts Rd, Boddington - Temporary Road Closure - Mining",Temporary Road Closure - April 2023 to December 2025 ,,,Morts Rd
12958737.0500029,-3872857.09692567,21647,69769,01/04/2023 00:00:00,30/04/2038 00:00:00,,Maintenance,LOCAL ROAD,Boddington,South West,03/04/2023 07:08:22,ad4ef33e-90a6-4c11-bd8d-003cf1aec4b8,"Ashcroft Rd, 3 kms south of Morts Rd intersection, Boddington - Long term Temporary Closure - Mining",Long term Road Closure - April 2023 to April 2038,,,Ashcroft Rd
12955868.4940306,-3867916.34155099,21648,69771,01/12/2023 00:00:00,31/07/2038 00:00:00,,Maintenance,LOCAL ROAD,Boddington,South West,03/04/2023 07:15:16,b536bcd3-379f-4f12-9038-6ccf543f124f,"Siding Rd - Whole length of Road, Boddington - Mining ",Long Term Temporary Closure - December 2023 to July 2038,,,Siding Rd
12948778.8603397,-3933825.45734072,25550,70691,01/05/2023 06:00:00,30/11/2025 19:00:00,,Upgrades,Collie Williams Rd,Palmer,South West,04/07/2024 14:36:50,5b40f884-60c3-477a-9288-3b6e0b0c17ef,"Collie Williams Rd & Pollard Rd, Palmer - Upgrades",Traffic Management - Speed Reduction - Single lane operation with reversible flow - Verge works - Minor delays,,,
12911063.3635417,-3749538.02014216,26179,72492,21/09/2023 08:00:00,30/09/2025 15:00:00,,Maintenance,Great Eastern Hwy,Midland,Metro,02/10/2023 12:32:17,d7967a04-3cc1-4c94-be63-59b515ab8c9a,"Great Eastern Hwy at Terrace Rd, Midland - Maintenance
8am to 3pm",Intermittent lane closure in place,,,
12800085.9944557,-3446070.19968042,26660,73948,01/02/2024 13:07:00,28/02/2025 17:00:00,,Upgrades,Indian Ocean Dr,Arrowsmith,Mid West Gascoyne,02/10/2024 11:43:26,9a51e8fb-add5-40b3-b53b-cefb099c5470,Indian Ocean Drive  Construction of Road Improvements Stage 2 - Leeman to Brand Highway Intersection  ,"Indian Ocean Drive North of the Eneabba - Coolimba Road Intersection to the Cliff Head Campground access is currently closed to all through traffic from 17th April to 28th February 2025.
North bound traffic will be diverted to Brand Hwy via the Eneabba - Coolimba Road. 
Access to the Cliff Head Campground is via Brand Hwy during the road closure period.
Allow additional travel time during the road closure period. ",,,
12826356.6921673,-3402450.32792263,26682,73982,10/04/2024 10:46:00,28/03/2025 17:00:00,,Upgrades,Midlands Rd,Dongara to Mingenew ,Mid West Gascoyne,29/11/2024 14:19:26,2b830f1a-c620-4b79-a8a9-dd8ecdce0d11,Midlands Rd Dongara to Mingenew  - Shoulder widening works ,Traffic restrictions and lane closures in place from April to December 2024. ,,,
12914809.1472005,-3782792.30157339,26762,74183,05/02/2024 17:00:00,05/02/2025 17:00:00,,Upgrades,Armadale Rd,,Metro,01/02/2024 13:26:44,ca0988ef-08bd-4378-bc92-7071ea77c8ca,Armadale Rd at Orchard Avenue - Upgrades,"Byford Rail Extension Upgrade Works
Various road impacts
click on 'find out more' to visit the METRONET website for further details",,https://www.metronet.wa.gov.au/projects/byford-rail-extension/works,
13284866.4385946,-3662420.40747455,27008,74641,05/03/2024 07:00:00,02/02/2025 17:00:00,,Upgrades,Great Eastern Hwy,Southern Cross,Goldfields Esperance,06/03/2024 13:45:36,6e104103-3ad5-4a1c-bfd8-544ce27c813f,Great Eastern Hwy between Ghooli and Southern Cross - Reconstruction Works,Speed Reductions.  Side tracks. Exercise Caution.,,, 
12885763.8435821,-3768860.14945346,27221,75375,15/04/2024 00:00:00,01/12/2026 00:00:00,,Upgrades,LOCAL ROAD,Fremantle,Metro,14/10/2024 13:55:12,9f30ff7c-4d72-4394-8db3-5c7772344906,Beach St from Queen Victoria St to East St  Fremantle - Upgrades,"Closed 24/7 from 15 April 2024 - Pedestrian and cyclist access is closed from the west end of the carpark and under the bridge - Click on 'Find out more' for more details.
",,https://www.mainroads.wa.gov.au/projects-initiatives/all-projects/metropolitan/swan-river-crossings/,Beach St
